City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
63,Hovd,48.0056,91.6419,66.09,40,7,3.67,clear sky,2021-08-02 03:37:52
64,Pevek,69.7008,170.3133,35.91,87,100,16.96,overcast clouds,2021-08-02 03:36:26
65,Bethel,41.3712,-73.414,68.68,92,75,6.91,broken clouds,2021-08-02 03:36:01
66,Ixtapa,20.7,-105.2,77.31,93,57,2.33,broken clouds,2021-08-02 03:37:53
67,Sitka,57.0531,-135.33,62.49,72,75,4.61,broken clouds,2021-08-02 03:33:09
68,Mogadishu,2.0371,45.3438,75.81,84,57,14.43,light rain,2021-08-02 03:36:57
69,Georgetown,5.4112,100.3354,88.9,71,20,1.01,few clouds,2021-08-02 03:33:39
70,Kloulklubed,7.0419,134.2556,79.3,73,100,13.78,moderate rain,2021-08-02 03:37:53
71,Nan,18.8333,100.6667,84.22,70,20,6.91,few clouds,2021-08-02 03:37:54
72,Butaritari,3.0707,172.7902,83.32,68,45,7.74,scattered clouds,2021-08-02 03:37:54
73,Luderitz,-26.6481,15.1594,62.56,36,0,6.64,clear sky,2021-08-02 03:37:55
74,Saldanha,-33.0117,17.9442,46.45,87,27,7.14,scattered clouds,2021-08-02 03:37:55
75,Russell,32.3502,-85.1999,79.88,90,1,0.0,clear sky,2021-08-02 03:37:55
76,Poum,-20.2333,164.0167,70.03,58,1,14.12,clear sky,2021-08-02 03:37:56
77,Kieta,-6.2167,155.6333,82.63,78,26,6.46,light rain,2021-08-02 03:37:56
78,Saint-Pierre,-21.3393,55.4781,65.88,59,75,6.91,broken clouds,2021-08-02 03:37:56
79,Honiara,-9.4333,159.95,80.73,79,77,1.21,broken clouds,2021-08-02 03:37:57
80,Tuatapere,-46.1333,167.6833,44.82,95,100,5.3,overcast clouds,2021-08-02 03:37:26
81,Yangambi,0.8102,24.4336,72.45,84,100,2.86,overcast clouds,2021-08-02 03:37:57
82,Cherskiy,68.75,161.3,43.88,66,72,21.47,broken clouds,2021-08-02 03:36:32
83,Sao Filipe,14.8961,-24.4956,75.25,76,16,0.89,few clouds,2021-08-02 03:37:58
84,Coahuayana,18.7333,-103.6833,85.48,87,64,0.4,broken clouds,2021-08-02 03:36:33
85,Hilo,19.7297,-155.09,76.24,85,70,4.0,light rain,2021-08-02 03:37:58
86,Isangel,-19.55,169.2667,57.31,100,75,5.75,broken clouds,2021-08-02 03:37:59
87,Skjervoy,70.0311,20.9714,48.0,71,77,9.33,broken clouds,2021-08-02 03:37:59
88,Seymchan,62.8833,152.4333,47.91,54,100,18.75,overcast clouds,2021-08-02 03:37:59
89,Pisco,-13.7,-76.2167,62.65,82,90,8.05,overcast clouds,2021-08-02 03:38:00
90,Meulaboh,4.1363,96.1285,83.55,65,92,1.88,overcast clouds,2021-08-02 03:38:00
91,Viransehir,37.2353,39.7631,89.42,26,92,13.02,overcast clouds,2021-08-02 03:38:01
92,Batagay-Alyta,67.8006,130.4114,73.27,38,0,6.78,clear sky,2021-08-02 03:38:01
93,Saint-Philippe,-21.3585,55.7679,65.79,74,38,8.48,scattered clouds,2021-08-02 03:37:17
94,Shahr-E Babak,30.1165,55.1186,80.1,34,39,9.26,scattered clouds,2021-08-02 03:38:01
95,Busselton,-33.65,115.3333,58.05,69,100,9.55,overcast clouds,2021-08-02 03:38:02
96,Blyth,55.1271,-1.5086,52.47,93,98,1.43,overcast clouds,2021-08-02 03:38:02
97,Seoul,37.5683,126.9778,84.61,76,90,8.05,light rain,2021-08-02 03:34:25
98,Mar Del Plata,-38.0023,-57.5575,42.1,31,90,8.01,overcast clouds,2021-08-02 03:36:38
99,Okakarara,-20.5833,17.4333,45.75,49,0,5.5,clear sky,2021-08-02 03:38:03
100,Upernavik,72.7868,-56.1549,41.38,82,2,10.4,clear sky,2021-08-02 03:38:03
101,Tacuati,-23.45,-56.5833,55.56,73,79,2.44,broken clouds,2021-08-02 03:38:03
102,Kaduna,10.5222,7.4383,67.93,98,100,2.33,light rain,2021-08-02 03:38:04
103,Yellowknife,62.456,-114.3525,78.3,38,20,6.91,few clouds,2021-08-02 03:38:04
104,Mount Gambier,-37.8333,140.7667,60.71,55,40,25.32,scattered clouds,2021-08-02 03:38:04
105,Korem,12.5058,39.5228,59.45,74,100,3.04,overcast clouds,2021-08-02 03:38:05
106,Tual,-5.6667,132.75,81.52,78,23,11.34,few clouds,2021-08-02 03:38:05
107,Lotoshino,56.2267,35.6414,65.62,74,89,5.55,overcast clouds,2021-08-02 03:38:05
108,Fort Nelson,58.8053,-122.7002,89.19,33,20,3.44,smoke,2021-08-02 03:38:06
109,Khatanga,71.9667,102.5,71.94,46,87,5.5,overcast clouds,2021-08-02 03:36:42
110,Avarua,-21.2078,-159.775,77.05,94,90,11.5,light rain,2021-08-02 03:36:29
111,Shache,38.4167,77.2406,70.75,49,100,11.45,overcast clouds,2021-08-02 03:38:06
112,Dikson,73.5069,80.5464,42.73,98,99,9.84,overcast clouds,2021-08-02 03:38:07
113,Kapaa,22.0752,-159.319,85.98,75,75,5.01,broken clouds,2021-08-02 03:38:07
114,Madang,-5.2246,145.7966,85.37,68,27,7.85,scattered clouds,2021-08-02 03:38:07
115,Northam,51.0333,-4.2167,55.38,87,49,3.8,scattered clouds,2021-08-02 03:35:53
116,Fukagawa,43.7081,142.0392,89.65,65,91,4.47,overcast clouds,2021-08-02 03:38:08
117,Dakar,14.6937,-17.4441,82.53,78,75,4.61,broken clouds,2021-08-02 03:34:34
118,Jamestown,42.097,-79.2353,62.19,95,20,1.01,fog,2021-08-02 03:33:26
119,Tarauaca,-8.1614,-70.7656,66.81,56,2,2.44,clear sky,2021-08-02 03:38:09
120,Awjilah,29.1081,21.2869,81.45,40,1,5.86,clear sky,2021-08-02 03:38:09
121,Torbay,47.6666,-52.7314,58.75,91,20,13.8,few clouds,2021-08-02 03:35:32
122,Fare,-16.7,-151.0167,77.27,70,2,14.63,clear sky,2021-08-02 03:38:09
123,Palmeira Das Missoes,-27.8994,-53.3136,45.84,82,0,4.56,clear sky,2021-08-02 03:38:10
124,Los Llanos De Aridane,28.6585,-17.9182,67.75,75,90,17.27,overcast clouds,2021-08-02 03:38:10
125,Ancud,-41.8697,-73.8203,45.93,89,100,3.22,overcast clouds,2021-08-02 03:38:10
126,Harper,4.375,-7.7169,76.24,77,100,6.44,overcast clouds,2021-08-02 03:38:11
127,Henties Bay,-22.116,14.2845,69.85,29,0,14.25,clear sky,2021-08-02 03:38:11
128,Hithadhoo,-0.6,73.0833,81.59,72,82,7.11,broken clouds,2021-08-02 03:36:11
129,Praia Da Vitoria,38.7333,-27.0667,74.75,100,90,12.06,light intensity drizzle,2021-08-02 03:38:11
130,Baduria,22.7417,88.7858,89.53,71,99,2.59,overcast clouds,2021-08-02 03:38:12
131,Arraial Do Cabo,-22.9661,-42.0278,65.64,73,22,13.82,few clouds,2021-08-02 03:38:12
132,Mayo,38.8876,-76.5119,72.21,94,90,3.0,overcast clouds,2021-08-02 03:38:12
133,East London,-33.0153,27.9116,61.74,63,75,13.8,light rain,2021-08-02 03:38:13
134,Tubuala,9.5167,-79.0333,80.71,86,100,4.83,overcast clouds,2021-08-02 03:38:13
135,Viedma,-40.8135,-62.9967,50.88,52,12,20.07,few clouds,2021-08-02 03:35:32
136,Xinye,32.5186,112.3522,88.93,65,16,13.73,light rain,2021-08-02 03:38:14
137,Norrtalje,59.758,18.705,61.02,83,65,3.78,broken clouds,2021-08-02 03:38:14
138,Jalu,29.0331,21.5482,82.02,36,1,5.73,clear sky,2021-08-02 03:38:14
139,Kiknur,57.3034,47.2011,69.21,64,84,9.95,broken clouds,2021-08-02 03:38:15
140,Romny,50.751,33.4747,71.98,73,36,8.12,scattered clouds,2021-08-02 03:38:15
141,Ambatondrazaka,-17.8333,48.4167,57.79,92,90,3.0,overcast clouds,2021-08-02 03:38:15
142,Aswan,24.0934,32.907,85.3,15,0,2.3,clear sky,2021-08-02 03:38:16
143,Esperance,-33.8667,121.9,57.04,63,100,16.46,overcast clouds,2021-08-02 03:38:15
144,Te Anau,-45.4167,167.7167,46.35,90,100,2.66,light rain,2021-08-02 03:38:16
145,Sawakin,19.1059,37.3321,89.56,54,40,16.31,scattered clouds,2021-08-02 03:38:16
146,Leh,34.1667,77.5833,63.72,44,4,6.08,clear sky,2021-08-02 03:38:17
147,Lagoa,39.05,-27.9833,71.94,94,100,13.24,overcast clouds,2021-08-02 03:38:17
148,Zykovo,55.9519,93.1461,70.54,49,18,3.36,few clouds,2021-08-02 03:38:17
149,Lisakovsk,52.5369,62.4936,78.85,46,22,4.81,few clouds,2021-08-02 03:38:18
150,Flin Flon,54.7682,-101.865,70.48,46,5,6.15,clear sky,2021-08-02 03:38:18
151,Jaen,38.0,-3.5,63.93,26,100,0.81,overcast clouds,2021-08-02 03:34:02
152,Rocha,-34.4833,-54.3333,43.84,96,0,3.33,clear sky,2021-08-02 03:38:19
153,Litovko,49.2361,135.1742,79.21,52,89,4.97,overcast clouds,2021-08-02 03:38:19
154,Reconquista,-29.15,-59.65,48.83,72,0,5.55,clear sky,2021-08-02 03:38:19
155,Luzhou,28.8724,105.4405,91.81,57,0,3.87,clear sky,2021-08-02 03:38:20
156,Codrington,-38.2667,141.9667,57.83,67,12,20.62,few clouds,2021-08-02 03:38:20
157,Tuktoyaktuk,69.4541,-133.0374,57.2,88,75,4.61,broken clouds,2021-08-02 03:38:20
158,Neiafu,-18.65,-173.9833,74.08,88,75,8.05,light rain,2021-08-02 03:38:21
159,Kaitangata,-46.2817,169.8464,53.92,73,100,4.81,overcast clouds,2021-08-02 03:36:16
160,Vestmannaeyjar,63.4427,-20.2734,53.42,88,86,6.93,overcast clouds,2021-08-02 03:36:49
161,Vao,-22.6667,167.4833,67.35,60,4,13.85,clear sky,2021-08-02 03:38:21
162,Kruisfontein,-34.0033,24.7314,55.89,96,94,5.21,moderate rain,2021-08-02 03:38:21
163,Barrow,71.2906,-156.7887,46.42,81,90,13.8,overcast clouds,2021-08-02 03:36:14
164,Ribeira Grande,38.5167,-28.7,72.72,95,24,11.34,few clouds,2021-08-02 03:38:22
165,Nanortalik,60.1432,-45.2371,45.7,93,100,7.67,moderate rain,2021-08-02 03:38:22
166,Padang,-0.9492,100.3543,84.25,72,100,3.96,light rain,2021-08-02 03:38:23
167,Souillac,-20.5167,57.5167,68.38,83,75,10.36,broken clouds,2021-08-02 03:38:23
168,Nikolskoye,59.7035,30.7861,60.03,76,100,4.83,overcast clouds,2021-08-02 03:36:39
169,Kathmandu,27.7167,85.3167,79.02,78,40,5.75,scattered clouds,2021-08-02 03:38:23
